时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/14 16:00,0.0095,0.0138,0.0131,5,1.25,4,0.17775,37,32,3048,26689
2018/3/14 17:00,0.0116,0.0181,0.0169,5,1.75,3,0.269975,20,18,4698,215177
2018/3/14 18:00,0.0225,0.0263,0.0256,7,2.75,4,0.49905,38,36,6606,295228
2018/3/14 19:00,0.0439,0.0399,0.0407,9,3.75,5,0.73655,79,79,18795,297800
2018/3/14 20:00,0.0555,0.0272,0.0322,9,4.25,4,0.690125,71,69,36091,159359
2018/3/14 21:00,0.0897,0.0518,0.0585,9,4,5,0.744575,37,35,46128,226261
2018/3/14 22:00,0.0209,0.0261,0.0252,6,1.75,5,0.3439,5,5,7201,52192
2018/3/14 23:00,0.0304,0.0087,0.0125,5,1.75,3,0.239675,25,19,14761,8207
2018/3/15 0:00,0.0059,0.0064,0.0063,4,1.5,3,0.129075,43,38,1393,1905
2018/3/15 1:00,0.0043,0.0064,0.006,4,1,2,0.10225,30,23,1302,2461
2018/3/15 2:00,0.0039,0.0061,0.0057,3,0.75,2,0.088725,14,0,1073,1391
2018/3/15 3:00,0.0032,0.0057,0.0052,3,0.5,2,0.07675,12,0,1021,1590
2018/3/15 4:00,0.0028,0.0056,0.0051,3,0.25,2,0.07315,1,0,941,1399
2018/3/15 5:00,0.0027,0.0055,0.005,2,0,2,0.071975,0,0,1111,1657
2018/3/15 6:00,0.0174,0.0482,0.0427,4,1.5,3,0.304375,8,3,8021,446394
2018/3/15 7:00,0.0187,0.0356,0.0326,8,2.5,4,0.3504,21,19,7739,371353
2018/3/15 8:00,0.0122,0.0116,0.0117,7,2.25,4,0.27985,29,29,4264,55851
2018/3/15 9:00,0.0115,0.0188,0.0175,6,1.5,3,0.24055,51,50,5066,154530
2018/3/15 10:00,0.0105,0.0115,0.0113,4,1.5,3,0.223675,19,19,3332,27266
2018/3/15 11:00,0.0074,0.007,0.0071,5,2,3,0.186475,29,28,1607,9182
2018/3/15 12:00,0.0121,0.0139,0.0136,6,1.5,3,0.2117,42,40,5515,71392
2018/3/15 13:00,0.0354,0.018,0.0211,5,1.25,4,0.316225,34,32,29562,60436
2018/3/15 14:00,0.0054,0.0071,0.0068,4,0.75,3,0.147425,41,38,1789,12067
2018/3/15 15:00,0.0034,0.0064,0.0058,4,0,2,0.0611,34,33,723,1417
2018/3/15 16:00,0.0053,0.0128,0.0115,4,0.25,2,0.092225,19,16,4234,145910
2018/3/15 17:00,0.0096,0.0189,0.0173,4,1.5,3,0.234225,18,14,3938,240331
2018/3/15 18:00,0.0131,0.0182,0.0173,6,2,3,0.269425,33,29,6249,200509
2018/3/15 19:00,0.0117,0.0101,0.0104,5,1.5,4,0.28125,46,40,4867,36532
2018/3/15 20:00,0.0401,0.031,0.0326,7,3.75,5,0.663825,47,45,20570,171394
2018/3/15 21:00,0.0381,0.0501,0.048,7,3.5,5,0.522625,65,63,20021,279487
2018/3/15 22:00,0.0243,0.0156,0.0171,6,2,4,0.3456,49,45,9453,67080
2018/3/15 23:00,0.0026,0.0055,0.005,3,0,2,0.071375,0,0,1036,1598
2018/3/16 0:00,0.0027,0.0055,0.005,2,0,2,0.073325,0,0,1040,1858
2018/3/16 1:00,0.0064,0.0075,0.0073,4,1,2,0.14375,14,7,2386,19459
2018/3/16 2:00,0.005,0.0058,0.0057,3,0.5,3,0.099975,29,0,1363,1262
2018/3/16 3:00,0.0035,0.0057,0.0053,3,0.75,2,0.07685,9,0,885,906
